op_id,h1,h2,op_type,input_shape,weight_shape,weight_pos,output_shape,depends_on,layer_idx,block,sub_block,depth,module_path,raw_op,params,phase,unmapped
0,transformer,,view,"[[B, 1]]",,,"[[B, 1]]",[],,other,,1,transformer,aten.view.default,[],decode,True
1,transformer,wte,embedding,"[[V, d_model], [B, 1]]","[V, d_model]",0,"[[B, 1, d_model]]",[0],,other,,2,transformer.wte,aten.embedding.default,[transformer.wte.weight],decode,False
2,transformer,wpe,embedding,"[[ctx, d_model], [B, 1]]","[ctx, d_model]",0,"[[B, 1, d_model]]",[],,other,,2,transformer.wpe,aten.embedding.default,[transformer.wpe.weight],decode,False
3,transformer,,elementwise_add,"[[B, 1, d_model], [B, 1, d_model]]",,,"[[B, 1, d_model]]","[1, 2]",,other,,1,transformer,aten.add.Tensor,[],decode,False
4,transformer,,arange,[],,,[[B]],[],,other,,1,transformer,aten.arange.default,[],decode,True
5,transformer,,arange,[],,,[[B]],[],,other,,1,transformer,aten.arange.default,[],decode,True
6,transformer,,arange,[],,,[[B]],[],,other,,1,transformer,aten.arange.default,[],decode,True
7,transformer,,elementwise_add,[[B]],,,[[B]],[6],,other,,1,transformer,aten.add.Tensor,[],decode,False
8,transformer,,arange,[],,,[[T+1]],[],,other,,1,transformer,aten.arange.default,[],decode,True
9,transformer,,elementwise_add,[[T+1]],,,[[T+1]],[8],,other,,1,transformer,aten.add.Tensor,[],decode,False
10,transformer,,unsqueeze,[[B]],,,"[[B, 1]]",[4],,other,,1,transformer,aten.unsqueeze.default,[],decode,True
11,transformer,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[10],,other,,1,transformer,aten.unsqueeze.default,[],decode,True
12,transformer,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[11],,other,,1,transformer,aten.unsqueeze.default,[],decode,True
13,transformer,,unsqueeze,[[B]],,,"[[B, 1]]",[5],,other,,1,transformer,aten.unsqueeze.default,[],decode,True
14,transformer,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[13],,other,,1,transformer,aten.unsqueeze.default,[],decode,True
15,transformer,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[14],,other,,1,transformer,aten.unsqueeze.default,[],decode,True
16,transformer,,unsqueeze,[[B]],,,"[[B, 1]]",[7],,other,,1,transformer,aten.unsqueeze.default,[],decode,True
17,transformer,,unsqueeze,"[[B, 1]]",,,"[[B, 1, 1]]",[16],,other,,1,transformer,aten.unsqueeze.default,[],decode,True
18,transformer,,unsqueeze,"[[B, 1, 1]]",,,"[[B, 1, 1, 1]]",[17],,other,,1,transformer,aten.unsqueeze.default,[],decode,True
